name,gender,date_of_birth,age,height,international,team,team_foundation,position,aerial_duels,aerial_duels_lost,aerial_duels_won,appearances,attempts_from_set_pieces,away_goals,backward_passes,clean_sheets,corners_won,duels,duels_lost,duels_won,fifty_fifty,forward_passes,foul_attempted_tackle,foul_won_penalty,games_played,goal_assists,goals,goals_conceded,goals_conceded_inside_box,goals_conceded_outside_box,goals_from_inside_box,goals_from_outside_box,ground_duels,ground_duels_lost,ground_duels_won,handballs_conceded,headed_goals,hit_woodwork,home_goals,interceptions,left_foot_goals,offsides,own_goal_scored,penalties_conceded,penalties_off_target,penalties_saved,penalty_goals,penalty_goals_conceded,red_cards_2nd_yellow,right_foot_goals,rightside_passes,saves_from_penalty,saves_made,set_pieces_goals,shots_off_target_inc_woodwork,shots_on_target_inc_goals,straight_red_cards,substitute_off,substitute_on,successful_corners_into_box,successful_crosses_corners,successful_dribbles,successful_fifty_fifty,successful_long_passes,successful_short_passes,tackles_lost,tackles_won,team_games_played,through_balls,time_played,times_tackled,total_clearances,total_fouls_conceded,total_fouls_won,total_passes,total_red_cards,total_shots,total_tackles,touches,unsuccessful_corners_into_box,unsuccessful_dribbles,unsuccessful_long_passes,unsuccessful_passes_opposition_half,unsuccessful_passes_own_half,unsuccessful_short_passes,winning_goal,yellow_cards
Aarón Escandell,M,1995-09-27,27,185,FALSE,Granada CF,1931-01-01,Goalkeeper,0,0,0,4,0,0,0,1,0,2,1,1,1,99,0,0,4,0,0,6,6,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,10,0,0,0,1,0,1,0,0,0,1,38,21,0,0,38,0,283,0,5,0,1,115,1,0,0,148,0,0,55,49,7,1,0,1
Abdelkabir Abqar,M,1999-03-10,23,188,FALSE,Deportivo Alaves,1921-01-23,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdón Prats,M,1992-12-07,30,181,FALSE,RCD Mallorca,1916-03-06,Forward,62,31,31,23,2,1,41,0,2,121,66,55,12,45,4,0,23,0,3,14,13,1,3,0,59,35,24,1,0,2,2,1,3,2,0,0,0,0,0,1,0,0,33,0,0,0,8,6,0,6,17,0,0,7,7,4,100,0,2,38,0,633,25,5,8,15,154,0,14,2,269,0,4,2,41,11,48,1,4
Adama Traoré,M,1996-01-25,27,178,FALSE,FC Barcelona,1899-11-29,Forward,7,2,5,11,0,0,54,0,6,66,26,40,11,20,1,0,11,2,0,7,6,1,0,0,59,24,35,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,7,0,0,0,4,3,0,3,7,0,11,24,4,3,106,2,2,38,0,378,16,3,7,7,128,0,7,4,259,0,11,1,40,6,18,0,0
Adnan Januzaj,M,1995-02-05,27,186,FALSE,Real Sociedad,1909-09-07,Midfielder,29,19,10,33,9,2,135,0,19,259,135,124,49,155,9,1,33,0,3,14,14,0,3,0,230,116,114,4,0,1,1,12,2,4,0,0,0,0,2,3,0,1,113,0,0,0,10,15,0,16,16,20,36,46,23,35,409,6,11,38,5,1625,78,13,28,51,587,0,25,17,1164,53,33,40,230,23,103,0,5
Adrià Pedrosa,M,1998-05-13,24,176,FALSE,RCD Espanyol de Barcelona,1900-10-23,Defender,37,20,17,31,0,0,171,8,31,298,130,168,55,357,13,0,31,1,1,40,39,1,0,1,261,110,151,0,0,0,1,25,1,0,1,0,0,0,0,3,0,0,344,0,0,0,11,7,0,4,0,0,16,48,35,42,684,28,30,38,0,2722,60,86,19,45,933,0,18,58,1772,1,34,88,214,92,119,1,8
Adrián De la Fuente,M,1999-02-26,23,179,FALSE,Villarreal CF,1923-03-10,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrián Embarba,M,1992-05-07,30,173,TRUE,RCD Espanyol de Barcelona,1900-10-23,Forward,48,31,17,32,15,0,158,3,37,324,179,145,69,161,19,0,32,2,0,23,22,1,0,0,276,148,128,2,0,2,0,19,0,7,0,0,0,0,0,1,0,0,118,0,0,0,20,16,0,18,8,16,32,41,35,24,411,15,29,38,0,1995,77,25,30,43,576,0,36,44,1238,66,39,28,259,42,113,0,4
Adrián Rodríguez,M,2000-12-12,22,195,FALSE,Deportivo Alaves,1921-01-23,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aihen Muñoz,M,1997-08-16,25,175,FALSE,Real Sociedad,1909-09-07,Defender,47,22,25,20,0,0,83,4,11,166,85,81,37,256,19,0,20,0,0,18,16,2,0,0,119,63,56,1,0,0,0,17,0,0,0,0,0,0,0,1,1,0,226,0,0,0,4,0,0,5,5,0,7,14,21,25,441,11,17,38,0,1344,26,29,27,14,593,1,4,28,973,1,14,38,107,52,89,0,2
Aitor Fernández,M,1991-05-03,31,182,FALSE,Levante UD,1909-09-07,Goalkeeper,2,0,2,13,0,0,0,2,0,4,0,4,0,214,0,0,13,0,0,29,25,4,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,52,1,52,0,0,0,1,0,0,0,0,0,0,69,134,1,1,38,0,1167,0,9,1,1,312,1,0,2,462,0,0,105,81,28,4,0,1
Aitor Ruibal,M,1996-03-22,26,176,FALSE,Real Betis,1907-09-12,Forward,19,14,5,19,0,0,64,0,11,137,83,54,26,87,15,0,19,0,0,11,11,0,0,0,118,69,49,2,0,0,0,8,0,1,0,0,0,0,0,0,0,0,55,0,0,0,10,3,0,8,10,0,2,13,9,5,230,6,15,38,0,858,24,5,23,15,295,0,13,21,508,0,13,11,68,7,49,0,6
Alan Godoy,M,2003-05-04,19,178,FALSE,Deportivo Alaves,1921-01-23,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Flores,M,2003-11-10,19,186,FALSE,Sevilla FC,1905-10-14,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
